1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2.0,2.0,2.0,2.0,1.2,1.2,1.2,1.2,1.4,'false'
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,'true'
24.0,5.0,1.0,3.0,63.0,309.13,0.11,9.5,32.54,2936.77,0.1,163.15,1.0,0.0,6.0,0.0,15.0,15.0,44.0,19.0,9.0,'false'
20.0,4.0,4.0,2.0,47.0,215.49,0.06,16.0,13.47,3447.89,0.07,191.55,0.0,0.0,3.0,0.0,16.0,8.0,31.0,16.0,7.0,'false'
24.0,6.0,6.0,2.0,72.0,346.13,0.06,17.33,19.97,5999.58,0.12,333.31,0.0,0.0,3.0,0.0,16.0,12.0,46.0,26.0,11.0,'false'
92.0,4.0,1.0,4.0,822.0,6234.84,0.04,26.64,234.02,166113.93,2.08,9228.55,7.0,46.0,62.0,0.0,24.0,168.0,449.0,373.0,7.0,b'true'
44.0,7.0,1.0,7.0,269.0,1746.31,0.05,22.12,78.96,38620.28,0.58,2145.57,6.0,14.0,36.0,0.0,25.0,65.0,154.0,115.0,13.0,b'true'
143.0,13.0,1.0,12.0,695.0,4996.93,0.04,28.52,175.18,142535.33,1.67,7918.63,11.0,57.0,93.0,0.0,24.0,122.0,405.0,290.0,25.0,b'true'
196.0,37.0,21.0,26.0,1177.0,9135.35,0.01,71.54,127.7,653537.1,3.05,36307.62,14.0,170.0,155.0,0.0,52.0,165.0,723.0,454.0,71.0,b'true'
12.0,1.0,1.0,1.0,37.0,159.91,0.11,9.0,17.77,1439.2,0.05,79.96,0.0,1.0,7.0,0.0,12.0,8.0,25.0,12.0,1.0,b'true'
12.0,1.0,1.0,1.0,37.0,159.91,0.11,9.0,17.77,1439.2,0.05,79.96,0.0,1.0,7.0,0.0,12.0,8.0,25.0,12.0,1.0,b'true'
133.0,30.0,1.0,26.0,605.0,4185.91,0.01,77.46,54.04,324260.81,1.4,18014.49,3.0,91.0,55.0,0.0,50.0,71.0,385.0,220.0,34.0,b'true'
28.0,3.0,1.0,2.0,104.0,557.19,0.07,15.24,36.57,8490.44,0.19,471.69,0.0,11.0,9.0,0.0,20.0,21.0,72.0,32.0,5.0,b'true'
91.0,20.0,9.0,4.0,568.0,3740.26,0.02,51.47,72.67,192513.32,1.25,10695.18,20.0,96.0,46.0,0.0,28.0,68.0,318.0,250.0,39.0,b'true'
41.0,4.0,3.0,3.0,129.0,745.8,0.08,13.19,56.52,9840.36,0.25,546.69,0.0,12.0,1.0,0.0,19.0,36.0,79.0,50.0,7.0,b'true'
149.0,20.0,1.0,18.0,702.0,5081.36,0.03,29.58,171.78,150305.78,1.69,8350.32,0.0,62.0,10.0,0.0,32.0,119.0,482.0,220.0,37.0,b'true'
411.0,73.0,30.0,41.0,1500.0,12749.77,0.02,43.41,293.68,553518.63,4.25,30751.03,45.0,339.0,42.0,0.0,48.0,314.0,932.0,568.0,141.0,b'true'
121.0,15.0,3.0,12.0,537.0,3817.28,0.04,23.26,164.09,88801.93,1.27,4933.44,3.0,29.0,16.0,0.0,24.0,114.0,316.0,221.0,29.0,b'true'
130.0,20.0,9.0,10.0,607.0,4282.56,0.02,51.6,83.0,220979.91,1.43,12276.66,23.0,65.0,12.0,0.0,38.0,95.0,349.0,258.0,37.0,b'true'
